Date,Date2,FORECAST,STD,L95,U95,RESIDUAL
21JUN2016,21JUN2016,19644.675778,1411.318424,16878.542496,22410.80906,981.32422219
22JUN2016,22JUN2016,19650.477401,1411.318424,16884.344119,22416.610683,976.52259923
23JUN2016,23JUN2016,19654.23847,1411.318424,16888.105188,22420.371752,973.76152986
24JUN2016,24JUN2016,19651.950461,1411.318424,16885.817179,22418.083743,977.04953876
25JUN2016,25JUN2016,19648.915809,1411.318424,16882.782527,22415.049091,981.084191
26JUN2016,26JUN2016,19651.120288,1411.318424,16884.987006,22417.25357,979.87971198
27JUN2016,27JUN2016,19656.282483,1411.318424,16890.149201,22422.415764,975.71751747
28JUN2016,28JUN2016,19657.907506,1411.318424,16891.774225,22424.040788,975.09249369
29JUN2016,29JUN2016,19655.280065,1411.318424,16889.146784,22421.413347,978.71993456
30JUN2016,30JUN2016,19654.064046,1411.318424,16887.930765,22420.197328,980.93595372
01JUL2016,01JUL2016,19657.369235,1411.318424,16891.235953,22423.502517,978.63076485
02JUL2016,02JUL2016,19661.334352,1411.318424,16895.20107,22427.467634,975.66564813
03JUL2016,03JUL2016,19661.429025,1411.318424,16895.295744,22427.562307,976.57097466
04JUL2016,04JUL2016,19659.240562,1411.318424,16893.107281,22425.373844,979.75943761
05JUL2016,05JUL2016,19659.62087,1411.318424,16893.487589,22425.754152,980.37912954
06JUL2016,06JUL2016,19663.213449,1411.318424,16897.080168,22429.346731,977.78655074
07JUL2016,07JUL2016,19665.836389,1411.318424,16899.703107,22431.969671,976.16361088
08JUL2016,08JUL2016,19665.085219,1411.318424,16898.951938,22431.218501,977.91478056
09JUL2016,09JUL2016,19663.763571,1411.318424,16897.630289,22429.896853,980.23642909
10JUL2016,10JUL2016,19665.297697,1411.318424,16899.164416,22431.430979,979.7023025
11JUL2016,11JUL2016,19668.593513,1411.318424,16902.460231,22434.726795,977.40648699
12JUL2016,12JUL2016,19670.026313,1411.318424,16903.893032,22436.159595,976.97368668
13JUL2016,13JUL2016,19669.032452,1411.318424,16902.899171,22435.165734,978.96754773
14JUL2016,14JUL2016,19668.700499,1411.318424,16902.567217,22434.833781,980.299501
15JUL2016,15JUL2016,19670.88621,1411.318424,16904.752928,22437.019492,979.11378994
16JUL2016,16JUL2016,19673.55404,1411.318424,16907.420758,22439.687322,977.44596003
17JUL2016,17JUL2016,19674.116084,1411.318424,16907.982802,22440.249366,977.8839159
18JUL2016,18JUL2016,19673.322407,1411.318424,16907.189125,22439.455689,979.67759284
19JUL2016,19JUL2016,19673.877467,1411.318424,16907.744185,22440.010749,980.12253323
20JUL2016,20JUL2016,19676.263575,1411.318424,16910.130294,22442.396857,978.73642458
21JUL2016,21JUL2016,19678.202826,1411.318424,16912.069544,22444.336108,977.79717406
22JUL2016,22JUL2016,19678.26472,1411.318424,16912.131438,22444.398001,978.73528046
23JUL2016,23JUL2016,19677.924254,1411.318424,16911.790973,22444.057536,980.07574573
24JUL2016,24JUL2016,19679.135749,1411.318424,16913.002467,22445.269031,979.86425078
25JUL2016,25JUL2016,19681.389424,1411.318424,16915.256142,22447.522705,978.61057633
26JUL2016,26JUL2016,19682.667601,1411.318424,16916.534319,22448.800883,978.33239913
27JUL2016,27JUL2016,19682.565025,1411.318424,16916.431743,22448.698307,979.43497508
28JUL2016,28JUL2016,19682.761167,1411.318424,16916.627885,22448.894449,980.23883284
29JUL2016,29JUL2016,19684.356218,1411.318424,16918.222936,22450.4895,979.64378182
30JUL2016,30JUL2016,19686.282721,1411.318424,16920.149439,22452.416003,978.71727909
31JUL2016,31JUL2016,19687.066576,1411.318424,16920.933294,22453.199858,978.93342406
01AUG2016,01AUG2016,19687.05058,1411.318424,16920.917298,22453.183861,979.94942044
02AUG2016,02AUG2016,19687.738724,1411.318424,16921.605442,22453.872006,980.26127576
03AUG2016,03AUG2016,19689.467403,1411.318424,16923.334121,22455.600685,979.5325968
04AUG2016,04AUG2016,19690.999385,1411.318424,16924.866103,22457.132666,979.00061527
05AUG2016,05AUG2016,19691.4894,1411.318424,16925.356118,22457.622682,979.51059989
06AUG2016,06AUG2016,19691.708912,1411.318424,16925.57563,22457.842193,980.29108834
07AUG2016,07AUG2016,19692.769278,1411.318424,16926.635996,22458.90256,980.23072215
08AUG2016,08AUG2016,19694.442614,1411.318424,16928.309332,22460.575896,979.55738601
09AUG2016,09AUG2016,19695.608389,1411.318424,16929.475107,22461.741671,979.39161099
10AUG2016,10AUG2016,19695.990678,1411.318424,16929.857397,22462.12396,980.00932159
11AUG2016,11AUG2016,19696.500203,1411.318424,16930.366921,22462.633485,980.49979679
12AUG2016,12AUG2016,19697.785248,1411.318424,16931.651966,22463.91853,980.21475215
13AUG2016,13AUG2016,19699.289296,1411.318424,16933.156014,22465.422578,979.71070388
14AUG2016,14AUG2016,19700.175139,1411.318424,16934.041857,22466.30842,979.82486134
15AUG2016,15AUG2016,19700.591785,1411.318424,16934.458503,22466.725067,980.40821477
16AUG2016,16AUG2016,19701.373604,1411.318424,16935.240322,22467.506885,980.62639635
17AUG2016,17AUG2016,19702.745032,1411.318424,16936.61175,22468.878314,980.25496824
18AUG2016,18AUG2016,19704.036116,1411.318424,16937.902834,22470.169398,979.96388406
19AUG2016,19AUG2016,19704.750274,1411.318424,16938.616992,22470.883556,980.24972613
20AUG2016,20AUG2016,19705.288373,1411.318424,16939.155091,22471.421654,980.71162732
21AUG2016,21AUG2016,19706.280654,1411.318424,16940.147373,22472.413936,980.71934555
22AUG2016,22AUG2016,19707.631582,1411.318424,16941.4983,22473.764863,980.36841841
23AUG2016,23AUG2016,19708.720283,1411.318424,16942.587001,22474.853565,980.2797172
24AUG2016,24AUG2016,19709.365612,1411.318424,16943.232331,22475.498894,980.63438773
25AUG2016,25AUG2016,19710.059968,1411.318424,16943.926686,22476.193249,980.94003229
26AUG2016,26AUG2016,19711.183236,1411.318424,16945.049954,22477.316518,980.81676397
27AUG2016,27AUG2016,19712.447241,1411.318424,16946.31396,22478.580523,980.55275869
28AUG2016,28AUG2016,19713.377839,1411.318424,16947.244558,22479.511121,980.62216058
29AUG2016,29AUG2016,19714.034597,1411.318424,16947.901315,22480.167879,980.96540277
30AUG2016,30AUG2016,19714.879281,1411.318424,16948.746,22481.012563,981.12071854
31AUG2016,31AUG2016,19716.057164,1411.318424,16949.923882,22482.190446,980.94283607
01SEP2016,01SEP2016,19717.206603,1411.318424,16951.073321,22483.339885,980.79339692
02SEP2016,02SEP2016,19718.037357,1411.318424,16951.904076,22484.170639,980.96264264
03SEP2016,03SEP2016,19718.756201,1411.318424,16952.622919,22484.889482,981.24379928
04SEP2016,04SEP2016,19719.719581,1411.318424,16953.586299,22485.852863,981.28041893
05SEP2016,05SEP2016,19720.891802,1411.318424,16954.75852,22487.025084,981.1081981
06SEP2016,06SEP2016,19721.929653,1411.318424,16955.796371,22488.062935,981.0703469
07SEP2016,07SEP2016,19722.717267,1411.318424,16956.583986,22488.850549,981.28273257
08SEP2016,08SEP2016,19723.520023,1411.318424,16957.386741,22489.653305,981.47997695
09SEP2016,09SEP2016,19724.559425,1411.318424,16958.426143,22490.692707,981.44057519
10SEP2016,10SEP2016,19725.687424,1411.318424,16959.554142,22491.820706,981.31257611
11SEP2016,11SEP2016,19726.636216,1411.318424,16960.502934,22492.769498,981.36378385
12SEP2016,12SEP2016,19727.42591,1411.318424,16961.292629,22493.559192,981.57408953
13SEP2016,13SEP2016,19728.311455,1411.318424,16962.178173,22494.444736,981.68854545
14SEP2016,14SEP2016,19729.384808,1411.318424,16963.251526,22495.51809,981.61519196
15SEP2016,15SEP2016,19730.451395,1411.318424,16964.318113,22496.584677,981.54860504
16SEP2016,16SEP2016,19731.342365,1411.318424,16965.209084,22497.475647,981.65763454
17SEP2016,17SEP2016,19732.163476,1411.318424,16966.030194,22498.296757,981.83652445
18SEP2016,18SEP2016,19733.115795,1411.318424,16966.982513,22499.249077,981.88420521
19SEP2016,19SEP2016,19734.189192,1411.318424,16968.05591,22500.322474,981.81080789
20SEP2016,20SEP2016,19735.1944,1411.318424,16969.061118,22501.327682,981.80560012
21SEP2016,21SEP2016,19736.058738,1411.318424,16969.925457,22502.19202,981.94126153
22SEP2016,22SEP2016,19736.924748,1411.318424,16970.791466,22503.05803,982.07525206
23SEP2016,23SEP2016,19737.921006,1411.318424,16971.787724,22504.054288,982.07899385
24SEP2016,24SEP2016,19738.972155,1411.318424,16972.838873,22505.105436,982.02784545
25SEP2016,25SEP2016,19739.927323,1411.318424,16973.794041,22506.060605,982.07267683
26SEP2016,26SEP2016,19740.790441,1411.318424,16974.65716,22506.923723,982.20955873
27SEP2016,27SEP2016,19741.701931,1411.318424,16975.568649,22507.835213,982.29806888
28SEP2016,28SEP2016,19742.719015,1411.318424,16976.585733,22508.852296,982.28098545
29SEP2016,29SEP2016,19743.737367,1411.318424,16977.604086,22509.870649,982.2626325
30SEP2016,30SEP2016,19744.65918,1411.318424,16978.525898,22510.792462,982.34081991
01OCT2016,01OCT2016,19745.538002,1411.318424,16979.40472,22511.671283,982.4619983
02OCT2016,02OCT2016,19746.486965,1411.318424,16980.353683,22512.620247,982.5130352
03OCT2016,03OCT2016,19747.505844,1411.318424,16981.372562,22513.639125,982.49415625
04OCT2016,04OCT2016,19748.490519,1411.318424,16982.357237,22514.623801,982.50948124
05OCT2016,05OCT2016,19749.39609,1411.318424,16983.262809,22515.529372,982.60390963
